db,policy_set,baseline,query_id,status,cold_ms,hot_ms,hot_peak_rss_kb,count,count_err,error_type,error_msg,policy_profile_lines,policy_ms,executor_ms,scan_mode,setup_ms,pre_run_memory_building_ms,disk_bytes
tpch0_1,S_E,rls_index,11,1,30.597299803048372,30.597792007029057,22736,0,,,,0,,,,3446.7896269634366,3379.7085019759834,60514304
tpch0_1,S_E,ours,1,1,693.5329739935696,663.059065118432,164544,4,,,,1,,,,1761.4024761132896,1699.0468339063227,20817794
tpch0_1,S_E,ours,3,1,271.82090980932117,241.41481705009937,184552,1061,,,,1,,,,1761.4024761132896,1699.0468339063227,20817794
tpch0_1,S_E,ours,6,1,121.25404877588153,90.79626901075244,155412,1,,,,1,,,,1761.4024761132896,1699.0468339063227,20817794
tpch0_1,S_E,ours,10,1,181.39686901122332,151.23997116461396,187696,2874,,,,1,,,,1761.4024761132896,1699.0468339063227,20817794
tpch0_1,S_E,ours,11,1,30.93621041625738,30.711278785020113,27540,0,,,,1,,,,1761.4024761132896,1699.0468339063227,20817794
tpch0_1,S_F,rls_index,1,1,1777.9761468991637,1717.224257066846,156188,4,,,,0,,,,4979.202982969582,4908.078879117966,108052480
tpch0_1,S_F,rls_index,3,1,30.810970813035965,30.650302302092314,65276,0,,,,0,,,,4979.202982969582,4908.078879117966,108052480
tpch0_1,S_F,rls_index,6,1,1205.3035609424114,1205.218382179737,150016,1,,,,0,,,,4979.202982969582,4908.078879117966,108052480
tpch0_1,S_F,rls_index,10,1,30.86431697010994,30.574903823435307,64304,0,,,,0,,,,4979.202982969582,4908.078879117966,108052480
