baseline,K,query_id,trial_type,trial_idx,elapsed_ms,mem_peak_mb,mem_delta_mb,status,error_type,error_msg
ours,10,8,cold,0,444.742,264.723,241.957,ok,,
ours,10,8,hot,1,1074.140,281.227,258.891,error,db_error,SSL SYSCALL error: EOF detected
ours,10,8,hot,2,263.458,128.023,104.156,error,db_error,ERROR:  custom_filter: CTID->rid not found for policy-required table (rel=customer blk=0 off=1)
ours,10,8,hot,3,465.046,269.859,247.305,ok,,
ours,10,8,hot,4,425.615,265.273,242.719,ok,,
ours,10,8,hot,5,1011.392,281.824,258.832,error,db_error,SSL SYSCALL error: EOF detected
rls_with_index,10,1,cold,0,20.572,16.648,0.000,ok,,
rls_with_index,10,1,hot,1,20.392,16.211,0.000,ok,,
rls_with_index,10,1,hot,2,20.172,16.211,0.000,ok,,
rls_with_index,10,1,hot,3,20.439,16.211,0.000,ok,,
rls_with_index,10,1,hot,4,20.443,16.430,0.000,ok,,
rls_with_index,10,1,hot,5,20.440,16.211,0.000,ok,,
rls_with_index,10,2,cold,0,20.429,15.992,0.000,ok,,
rls_with_index,10,2,hot,1,20.545,16.211,0.000,ok,,
rls_with_index,10,2,hot,2,20.309,15.992,0.000,ok,,
rls_with_index,10,2,hot,3,20.457,16.211,0.000,ok,,
rls_with_index,10,2,hot,4,20.423,16.211,0.000,ok,,
rls_with_index,10,2,hot,5,20.414,16.211,0.000,ok,,
rls_with_index,10,3,cold,0,20.432,16.430,0.000,ok,,
rls_with_index,10,3,hot,1,20.487,16.430,0.000,ok,,
rls_with_index,10,3,hot,2,20.368,16.211,0.000,ok,,
rls_with_index,10,3,hot,3,20.431,16.211,0.000,ok,,
rls_with_index,10,3,hot,4,20.458,16.211,0.000,ok,,
rls_with_index,10,3,hot,5,20.282,16.145,0.000,ok,,
rls_with_index,10,4,cold,0,20.265,15.992,0.000,ok,,
rls_with_index,10,4,hot,1,20.468,16.430,0.000,ok,,
rls_with_index,10,4,hot,2,20.453,16.430,0.219,ok,,
rls_with_index,10,4,hot,3,20.322,16.430,0.000,ok,,
rls_with_index,10,4,hot,4,20.420,16.430,0.000,ok,,
rls_with_index,10,4,hot,5,20.602,16.211,0.000,ok,,
