db,policy_set,policy_ids,query_id,status,error_type,error_msg,hub_ms,stamp_ms,propagate_ms,bin_ms,sig_ms,sat_ms,decode_ms,filter_ms,policy_profile_query_line,policy_profile_line
tpch0_1,S_C,"11,12,13,14,15",6,1,,,58.944,42.344,0.087,0.000,47.820,0.010,8.437,0.000,policy_profile_query: hub_ms=58.944 stamp_ms=42.344 propagate_ms=0.087 bin_ms=0.000 sig_ms=47.820 sat_ms=0.010 decode_ms=8.437,policy_profile: filter_ms=0.000
tpch0_1,S_C,"11,12,13,14,15",10,1,,,62.409,39.604,0.081,0.000,48.176,0.011,8.385,0.000,policy_profile_query: hub_ms=62.409 stamp_ms=39.604 propagate_ms=0.081 bin_ms=0.000 sig_ms=48.176 sat_ms=0.011 decode_ms=8.385,policy_profile: filter_ms=0.000
tpch0_1,S_C,"11,12,13,14,15",11,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,policy_profile: filter_ms=0.000
tpch0_1,S_C,"11,12,13,14,15",13,1,,,5.264,15.318,0.078,0.000,11.255,0.005,1.734,0.026,policy_profile_query: hub_ms=5.264 stamp_ms=15.318 propagate_ms=0.078 bin_ms=0.000 sig_ms=11.255 sat_ms=0.005 decode_ms=1.734,policy_profile: filter_ms=0.026
tpch0_1,S_C,"11,12,13,14,15",22,1,,,5.304,15.538,0.084,0.000,11.290,0.004,2.030,0.022,policy_profile_query: hub_ms=5.304 stamp_ms=15.538 propagate_ms=0.084 bin_ms=0.000 sig_ms=11.290 sat_ms=0.004 decode_ms=2.030,policy_profile: filter_ms=0.022
tpch0_1,S_D,"11,12,13,14,15,16,17,18,19,20",1,1,,,167.969,368.556,11.181,0.000,132.777,0.914,16.540,0.000,policy_profile_query: hub_ms=167.969 stamp_ms=368.556 propagate_ms=11.181 bin_ms=0.000 sig_ms=132.777 sat_ms=0.914 decode_ms=16.540,policy_profile: filter_ms=0.000
tpch0_1,S_D,"11,12,13,14,15,16,17,18,19,20",3,1,,,165.270,369.282,11.945,0.000,132.952,0.893,16.724,0.000,policy_profile_query: hub_ms=165.270 stamp_ms=369.282 propagate_ms=11.945 bin_ms=0.000 sig_ms=132.952 sat_ms=0.893 decode_ms=16.724,policy_profile: filter_ms=0.000
tpch0_1,S_D,"11,12,13,14,15,16,17,18,19,20",6,1,,,182.216,354.039,5.617,0.000,130.820,0.902,17.119,0.000,policy_profile_query: hub_ms=182.216 stamp_ms=354.039 propagate_ms=5.617 bin_ms=0.000 sig_ms=130.820 sat_ms=0.902 decode_ms=17.119,policy_profile: filter_ms=0.000
tpch0_1,S_D,"11,12,13,14,15,16,17,18,19,20",10,1,,,168.896,355.550,6.359,0.000,127.708,0.889,16.765,0.000,policy_profile_query: hub_ms=168.896 stamp_ms=355.550 propagate_ms=6.359 bin_ms=0.000 sig_ms=127.708 sat_ms=0.889 decode_ms=16.765,policy_profile: filter_ms=0.000
tpch0_1,S_D,"11,12,13,14,15,16,17,18,19,20",11,1,,,0.321,0.000,0.000,0.000,0.000,0.000,0.000,40.764,policy_profile_query: hub_ms=0.321 stamp_ms=0.000 propagate_ms=0.000 bin_ms=0.000 sig_ms=0.000 sat_ms=0.000 decode_ms=0.000,policy_profile: filter_ms=40.764
tpch0_1,S_D,"11,12,13,14,15,16,17,18,19,20",13,1,,,5.268,15.344,0.078,0.000,11.218,0.005,1.731,0.023,policy_profile_query: hub_ms=5.268 stamp_ms=15.344 propagate_ms=0.078 bin_ms=0.000 sig_ms=11.218 sat_ms=0.005 decode_ms=1.731,policy_profile: filter_ms=0.023
tpch0_1,S_D,"11,12,13,14,15,16,17,18,19,20",22,1,,,5.609,15.368,0.079,0.000,11.386,0.005,2.071,0.025,policy_profile_query: hub_ms=5.609 stamp_ms=15.368 propagate_ms=0.079 bin_ms=0.000 sig_ms=11.386 sat_ms=0.005 decode_ms=2.071,policy_profile: filter_ms=0.025
tpch0_1,S_E,"21,22,23,24,25",1,1,,,4.876,1.745,0.000,0.313,29.991,0.006,14.726,303.072,policy_profile_query: hub_ms=4.876 stamp_ms=1.745 propagate_ms=0.000 bin_ms=0.313 sig_ms=29.991 sat_ms=0.006 decode_ms=14.726,policy_profile: filter_ms=303.072
tpch0_1,S_E,"21,22,23,24,25",3,1,,,5.750,0.983,0.000,0.367,29.772,0.006,15.645,180.445,policy_profile_query: hub_ms=5.750 stamp_ms=0.983 propagate_ms=0.000 bin_ms=0.367 sig_ms=29.772 sat_ms=0.006 decode_ms=15.645,policy_profile: filter_ms=180.445
tpch0_1,S_E,"21,22,23,24,25",6,1,,,24.098,0.143,0.000,0.363,29.936,0.006,12.323,75.579,policy_profile_query: hub_ms=24.098 stamp_ms=0.143 propagate_ms=0.000 bin_ms=0.363 sig_ms=29.936 sat_ms=0.006 decode_ms=12.323,policy_profile: filter_ms=75.579
tpch0_1,S_E,"21,22,23,24,25",10,1,,,5.472,0.556,0.000,0.314,29.859,0.007,12.997,117.561,policy_profile_query: hub_ms=5.472 stamp_ms=0.556 propagate_ms=0.000 bin_ms=0.314 sig_ms=29.859 sat_ms=0.007 decode_ms=12.997,policy_profile: filter_ms=117.561
