run_id,ts,db,K,policy_ids,baseline,query_id,warmup_runs,timed_runs,planning_ms,execution_ms,total_ms,peak_rss_mb,status,error_type,error_msg,result_count,ours_count,rls_count,correctness
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",ours,15,0,1,0.364,811.561,811.925,269.250,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",rls_with_index,15,0,1,0.260,26.657,26.917,152.500,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",ours,16,0,1,0.459,75.828,76.287,196.266,ok,,,2846,2846,2846,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",rls_with_index,16,0,1,0.234,51.419,51.653,152.500,ok,,,2846,2846,2846,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",ours,17,0,1,0.462,2147.287,2147.749,311.293,ok,,,1,1,1,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",rls_with_index,17,0,1,0.320,1040.267,1040.587,208.461,ok,,,1,1,1,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",ours,18,0,1,0.752,982.966,983.718,330.422,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",rls_with_index,18,0,1,0.640,57.563,58.203,207.836,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",ours,19,0,1,0.579,840.841,841.420,327.199,ok,,,1,1,1,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",rls_with_index,19,0,1,0.362,0.047,0.409,206.688,ok,,,1,1,1,1
